"Number","Smile_format"
127,"C1=CC(=CC=C1CC(=O)O)O"
139,"CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C"
140,"CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO"
141,"C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O"
158,"CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O"
159,"CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O"
160,"CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O"
163,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O"
168,"C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O"
169,"CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O"
